,version,variable,product_type,experiment,temporal_aggregation,period,ensemble_member,model,lat_resolution,lon_resolution
131,v2-0,r99pETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
132,v2-0,tn10pETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
133,v2-0,tn10pETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
134,v2-0,tn10pETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
135,v2-0,tn10pETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
136,v2-0,tn90pETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
137,v2-0,tn90pETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
138,v2-0,tn90pETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
139,v2-0,tn90pETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
140,v2-0,tx10pETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
141,v2-0,tx10pETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
142,v2-0,tx10pETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
143,v2-0,tx10pETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
144,v2-0,tx90pETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
145,v2-0,tx90pETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
146,v2-0,tx90pETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
147,v2-0,tx90pETCCDI,b1961-1990,ssp585,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
148,v2-0,wsdiETCCDI,b1961-1990,historical,yr,1850-2014,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
149,v2-0,wsdiETCCDI,b1961-1990,ssp245,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
150,v2-0,wsdiETCCDI,b1961-1990,ssp370,yr,2015-2100,r1i1p1f1,CanESM5,2.7672718509152787,2.8125
